Molecule,Round,SMILES,SI (A549 CC50/((nLUC EC50 + CPE Ec50)/2),Molecular weight (g/mol),log P,Lipinski violations,A549-hACE2_Cytotoxicity: CC50 (µM),P5_MERS_CPE_protection Max =100: EC50 (µM),CPE EC50 (µM),nLuc IC50 (µM),P5_SARS-CoV2_nsP13-dsRNA unwinding: EC50 (µM),P5_Vero76_Cytotoxicity: CC50 (µM)
MWAC-0003789,1,COc1c(Cl)cc(CNC2COc3c(cccc3OC)C2)cc1OC,1.37117784176608,363.841,3.8,0,33.48,> 50.000,> 50.00,22.93,> 50.00,36
MWAC-0003807,1,Cc1nc(CNC(=O)CCC2(Cc3ccc(OC)c4c3cccc4)CCC(=O)N2)cs1,1.37098985467508,437.565,4.6,0,> 50.00,> 50.000,> 50.00,22.94,> 50.00,> 50.00
MWAC-0003788,1,COc1cc2c(cc1)[nH]c(Cn1cnc(-c3ccccc3)c1-c1oc(CO)cc1)c2,1.34210173131123,399.45,4.4,0,24.39,> 50.000,> 50.00,24.51,(EC50 could not be calculated),28.54
MWAC-0003962,2,N#CC1CCN(CC2=CC=CC=C2OCC(O)CN2CCSCC2)CC1,1.22414004162076,375.538,2.6,0,> 50.00,(EC50 could not be calculated),> 50.00,31.69,> 50.00,> 50.00
MWAC-0003808,1,Cc1sc(C(=O)NCCN2Cc3c(cccc3)OC(c3c(OC)cccc3)C2)c(C)n1,1.21212121212121,437.565,3.4,0,28.37,(EC50 could not be calculated),(EC50 could not be calculated),41.25,> 50.00,18.85
MWAC-0003783,1,c1ccccc1CN(CCC(=O)N)C(=O)c1cc(-c2oc(C)cc2)ccc1,1.0864841373316,362.429,2.9,0,26.91,(EC50 could not be calculated),(EC50 could not be calculated),46.02,(EC50 could not be calculated),40.65
MWAC-0003798,1,[nH]1cnnc1SCc1oc(C(=O)N2CC(c3nc4c(o3)cccc4)CCC2)cc1,1.05554265447867,409.471,3.6,0,49.04,> 50.000,44.738,50,49,> 50.00
MWAC-0003785,1,Nc1nc2c(s1)c(C(=O)N1CC3(Cc4ccccc4)N(CC1)C(=O)OC3)ccc2,1.05529759392149,408.483,2.9,0,> 50.00,(EC50 could not be calculated),> 50.00,44.76,(EC50 could not be calculated),(CC50 could not be calculated)
MWAC-0003775,1,n1csc2c1ccc(C(=O)N1CC(Cc3ccc(CO)cc3)CC1)c2,1,352.459,3.5,0,> 50.00,> 50.000,(EC50 could not be calculated),50,19,> 50.00
MWAC-0003777,1,FC(F)(F)c1cc(CC(=O)NCc2c(C)c(O)c(C)cn2)ccc1,1,338.329,2.4,0,> 50.00,> 50.000,> 50.00,50,(EC50 could not be calculated),> 50.00
MWAC-0003784,1,Cc1nc2c(s1)ccc(C(=O)NCC1COc3c(cccc3OC)C1)c2,1,368.458,5,0,> 50.00,(EC50 could not be calculated),> 50.00,50,(EC50 could not be calculated),40.7
MWAC-0003787,1,c1cccc(-c2oc(CN3CC[C@]45[C@H]3CC(=O)N4CCCO5)cc2)c1C#N,1,363.417,1.7,0,> 50.00,(EC50 could not be calculated),> 50.00,50,> 50.00,> 50.00
MWAC-0003797,1,c1cccc2c1CC(C(=O)NCc1c(C)nc(COC)s1)N(CC)C2,1,359.495,2.1,0,> 50.00,> 50.000,> 50.00,50,> 50.00,> 50.00
MWAC-0003801,1,N#Cc1cc(OC)c(OCC2CCCN(C(=O)CCc3cccnc3)C2)cc1,1,379.46,2.3,0,> 50.00,> 50.000,> 50.00,50,> 50.00,44.71
MWAC-0003802,1,c1cccc2c1cc(CNC(=O)c1c(OCc3ccccc3)c(=O)ccn1C)o2,1,388.423,3.6,0,> 50.00,> 50.000,> 50.00,50,> 50.00,> 50.00
MWAC-0003806,1,c1cccc(-c2oc(CN3CC4(CC)N(CC3)C(=O)OC4)cc2)c1C#N,1,351.406,3.2,0,> 50.00,> 50.000,> 50.00,50,> 50.00,26.85
MWAC-0003810,1,C1CCCc2c1nc(CNC(=O)[C@H]1CC[C@H](c3ccccc3)N1)s2,1,341.48,2.3,0,> 50.00,> 50.000,> 50.00,50,> 50.00,> 50.00
MWAC-0003981,2,CCC1=NC(CN2CCC(C3CCNCC3)CC2)=NN1,1,277.416,0.6,0,> 50.00,> 50.000,> 50.00,50,> 50.00,> 50.00
MWAC-0003769,1,c1cccc(-c2oc(CN3CC[C@]45[C@H]3CC(=O)N4CCO5)cc2)c1C#N,1,349.39,1.4,0,> 50.00,> 50.000,(EC50 could not be calculated),50,> 50.00,> 50.00
MWAC-0003782,1,n1ccccc1C[C@H]1[C@H](O)CN(CC2=Cc3c(c(OC)ccc3)OC2)C1,1,352.434,2.2,0,> 50.00,(EC50 could not be calculated),(EC50 could not be calculated),50,> 50.00,> 50.00
MWAC-0003809,1,c1c(Cl)ccc2c1C=C(C(=O)NCc1cc(-c3ccccn3)no1)CO2,1,367.792,3.3,0,> 50.00,(EC50 could not be calculated),(EC50 could not be calculated),50,> 50.00,> 50.00
MWAC-0003811,1,c1ccccc1C(=O)C1CCCN(C(=O)c2ccc3c(c2)sc(C)n3)C1,1,364.47,3.7,0,> 50.00,(EC50 could not be calculated),(EC50 could not be calculated),50,> 50.00,30.74
MWAC-0003813,1,c1cccc(-c2oc(CN3C[C@H]4[C@H](C3)OCCC(=O)N4C)cc2)c1C#N,1,351.406,2,0,> 50.00,> 50.000,(EC50 could not be calculated),50,> 50.00,> 50.00
MWAC-0003965,2,O=C(C1CC1)N1CCC(C2CCN(CC3=NC4=C(CCCC4)S3)CC2)CC1,1,387.593,4.6,0,> 50.00,> 50.000,(EC50 could not be calculated),50,> 50.00,(CC50 could not be calculated)
MWAC-0003969,2,CC1=NC=CC(CN2CCC(C3CCNCC3)CC2)=N1,1,274.412,1.5,0,> 50.00,(EC50 could not be calculated),(EC50 could not be calculated),50,> 50.00,> 50.00
MWAC-0003778,1,o1cccc1/C=C/CN(Cc1c(C)ccs1)Cc1ccccn1,1,324.449,2.4,0,32.25,> 50.000,> 50.00,50,26,> 50.00
