Title,SMILES,Actividad
SR-01000356962,O=C(NC(=S)NNS(=O)(=O)c1ccccc1)c1cccc([N+](=O)[O-])c1,1
SR-01000206772,CCCOC(=O)C[n+]1csc2ccccc21,1
SR-01000480489,O=[N+]([O-])c1cccc(-c2n[nH]c(=S)[nH]2)c1,1
SR-01000266825,Nc1nnc(SCC(=O)c2ccc([N+](=O)[O-])cc2)[nH]1,1
SR-01000096906,CCOc1cc(C2CC(=O)N3CN(c4ccccc4)CSC3=C2C#N)ccc1O,1
SR-01000208024,CCCCC1(C)NC(=S)N(c2ccccc2)N1,1
MWAC-0004022,O=C(C1=C(NC(CSC2=NC(C3=CC=C(OC)N=C3)=CC=N2)=O)SC2=C1CC(C)N(C(OC(C)(C)C)=O)C2)N,1
SR-01000221683,Cc1ccc(-c2nc3ncccc3o2)cc1NC(=O)/C=C/c1ccco1,1
SR-05000001925,S=c1[nH]cnc2nc[nH]c12,1
SR-01000280559,CCNC(=S)/N=C(\NCc1cccnc1)Nc1nc(C)cc(C)n1,1
SR-01000096900,COc1cc(C2CC(=O)N3CN(Cc4ccccc4)CSC3=C2C#N)ccc1O,1
MWAC-0001583,CC1=CC=C(C2SC3=C(C=CC=C3)N=C(C3=CC=C(Br)C=C3)C2)C=C1,1
SR-01000316073,Cc1[nH]c(=S)c(C#N)c(C)c1C(=O)Nc1ccccc1,1
SR-05001870776,CC(OC(=O)OC1CCCCC1)OC(=O)C1=C(CSc2nnnn2CCN(C)C)CS[C@@H]2[C@H](NC(=O)Cc3csc(N)n3)C(=O)N12,1
SR-01000392307,Cc1ccccc1OCC(=O)OCC(=O)c1ccc([N+](=O)[O-])cc1,1
SR-01000438205,O=C(Sc1n[nH]c(=O)[nH]c1=O)c1ccc(Cl)cc1,1
MWAC-0003795,N#CC1CCN(Cc2c(OCC(O)CN(C)C3CCCCC3)cccc2)CC1,1
SR-01000224744,C=CCN1C(=O)/C(=C\c2ccc(I)o2)C(=O)NC1=S,1
SR-01000281286,Cc1cc(O)ccc1Nc1nc(-c2cccs2)cs1,1
SR-01000075930,O=C1C(SCCO)=C(SCCO)C(=O)c2ccccc21,1
SR-01000199903,N#CC1=C(S)NC(=O)CC1c1cccs1,1
SR-01000238611,O=C(CCC(=O)OCC(=O)c1ccc([N+](=O)[O-])cc1)Nc1ccc(Oc2ccccc2)cc1,1
SR-01000318596,CC(C)C(C(=O)O)N1C(=O)/C(=C\c2ccccc2O)SC1=S,1
MWAC-0001618,O=C(N)C1=C(NC(C(CC)SC2=NC(C)=CC(C)=N2)=O)SC2=C1CCCC2,1
SR-01000005623,O=C(Nc1nnc(S)s1)c1c(F)cccc1F,1
SR-01000913053,CCSc1nnc(-c2ccccc2)c2sc(C)nc12,1
SR-01000232204,COc1cc(Br)cc(C=C2C(=O)N(C)C(=S)N(C)C2=O)c1O,1
MWAC-0001684,O=C1N(CCCCN2CCN(CC3=C4C=CC=CC4=CN=C3)CC2)C2=C(OC1)C=CC=C2,1
MWAC-0002049,O=C1COC2=C(C=CC=C2)N1CCCCN1CCN(C2=CC=NC3=C2C=CC=C3OC)CC1,1
SR-01000068557,CN(Cc1ccccc1)Cn1nc(-c2cccs2)[nH]c1=S,1
SR-01000128636,N#CC1=C2SCN(Cc3ccco3)CN2C(=O)CC1c1ccc(Cl)cc1,1
SR-01000096664,COc1ccc(N2CSC3=C(C#N)C(c4ccccc4)CC(=O)N3C2)cc1,1
MWAC-0003781,N1=C2N(CCC1)C(CC(=O)N1CCN(Cc3c(C)cccc3)CC1)=CS2,1
SR-01000289788,O=C1N2CCCc3cccc(c32)C12Nc1ccccc1S2,1
SR-01000324342,N#CCC(c1ccccc1)c1ccc2c(c1)OCO2,1
SR-01000526101,O=C(Nc1ccccc1)Oc1cc2oc(=O)sc2cc1Cl,1
SR-01000096868,COc1ccc(OC)c(C2CC(=O)N3CN(c4ccccc4OC)CSC3=C2C#N)c1,1
SR-01000509349,Cc1ccc(NNC=C2C(=O)NC(=S)NC2=O)cc1C,1
SR-01000005247,COc1ccc(-c2csc(N/N=C/c3ccco3)n2)cc1,1
MWAC-0002437,O=C1COC2=C(N1CCCCN1CCN(C3=C4C=C(OC)C(OC)=CC4=NC=N3)CC1CO)C=CC=C2,1
SR-01000230266,O=C1NC(=S)NC(=O)C1=Cc1ccc(O)c(Cl)c1,1
SR-01000531673,Cc1ccc(N2NC(C)(c3cccs3)NC2=S)cc1,1
SR-01000129878,CCOCCCNC(=O)c1ccc2c(c1)N(Cc1ccccc1)C(=O)CS2=O,1
SR-01000164137,CCOC(=O)C1(Cc2ccccc2)CCN(Cc2ccc(COC)o2)CC1,0
SR-01000397069,CCCCOc1ccc(C(=O)Nc2sc3c(c2C(=O)OCC)CCC3)cc1,0
SR-01000631241,Cc1oc2ccccc2c1CNC(=O)Nc1ccc(Cl)cc1Cl,0
SR-01000357978,N#C/C(=C\c1cccs1)C(=O)Nc1ccccc1F,0
SR-01000235913,Cc1ccc(N(CC(=O)NCc2ccccc2C)S(C)(=O)=O)cc1Cl,0
SR-01000469938,CCn1c(C)nc2cc(S(=O)(=O)N3CCCC3)ccc21,0
SR-01000384388,COc1cc(OC)cc(Oc2ncc(-c3ccc(F)cc3)cn2)c1,0
SR-01000096628,N#CC1=C2SCN(c3ccccc3F)CN2C(=O)CC1c1cccc([N+](=O)[O-])c1,0
SR-01000312536,CCCSC1=C(C#N)C(c2ccc(C)s2)CC(=O)N1,0
SR-01000315460,Nc1ccc(/C=C2\C(=O)C3CCN2CC3)cc1,0
SR-01000375434,CC(C)(C)C(=O)N1CCC[C@H](Cn2nc(-c3cccs3)ccc2=O)C1,0
SR-01000263130,CCOc1cc(Br)cc(/C=C2/C(=O)N(C)C(=S)N2CC(=O)OC)c1O,0
SR-01000267276,Clc1ccc(OCCN2CCNCC2)c(Br)c1,0
SR-01000023590,CCn1c(=O)c2c(nc3n(Cc4ccc(OC)cc4)c(C)cn23)n(C)c1=O,0
SR-01000581847,CCC(C)NC(=O)c1ccc2nc(-c3ccccc3)c(-c3ccccc3)nc2c1,0
SR-01000576890,CC1CCCC(NC(=O)c2cc(S(=O)(=O)N3CCc4ccccc43)ccc2Sc2ccc(F)cc2)C1C,0
SR-01000340769,CCCn1c(SCC(=O)N2CCc3ccccc32)nnc1-c1cccnc1,0
SR-01000499975,CN(C)c1ccc(NC(=O)CC2Sc3ccc(C(F)(F)F)cc3NC2=O)cc1,0
SR-01000134093,CN(CC(=O)Nc1cccnc1)S(=O)(=O)c1ccc2c(c1)n(C)c(=O)c(=O)n2C,0
SR-01000006320,CCOc1ccc(NC(=O)Nc2cccc(C(C)=O)c2)cc1,0
SR-01000475937,Clc1ccc(CN2CCN(Cc3ccccn3)CC2)cc1,0
SR-01000116366,Cc1ccc(OCC(=O)N/N=C/c2cc(Cl)ccc2O)cc1C,0
SR-01000086715,COc1cccc(C(=O)N2N=C(C)CC2(O)C(F)(F)OC(F)(F)F)c1,0
SR-01000548827,CC(C)c1ccc(NC(=O)C(c2ccccc2)N2CC(=O)Nc3ccccc32)cc1,0
SR-01000349970,COc1ccc(Nc2ncccc2C(=O)N2CCCCC2)cc1OC,0
SR-01000261272,CCN1C(=O)/C(=C/c2cn(CC(=O)OC)c3ccccc23)C(=O)NC1=S,0
SR-01000543595,COC(=O)c1ccc(C2C3=C(CC(C)(C)CC3=O)N(CCN3CCOCC3)C3=C2C(=O)CC(C)(C)C3)cc1,0
SR-01000263848,O=c1cc2nc(-c3ccco3)cc(C(F)(F)F)n2[nH]1,0
SR-01000171553,Cc1ccc(C(=O)N2CCN3C(=O)[C@H](Cc4c[nH]c5ccccc45)NC(=O)[C@H]3C2)cc1F,0
SR-01000444551,CCOC(=O)C1=C(C)Nc2nnnn2C1c1ccccc1Cl,0
SR-01000150337,CCN(CC)S(=O)(=O)c1cc2c(cc1C)NC(=O)CO2,0
SR-01000450765,O=C(Nn1c(-c2ccccc2F)nc2ccccc2c1=O)c1cc2ccccc2oc1=O,0
SR-01000173760,COc1ccccc1/C=C/CN1CCC(CO)(CC2CCCCO2)CC1,0
SR-01000293478,CCOC(=O)Oc1c(-c2ccc(OC)c(OC)c2)oc2ccccc2c1=O,0
SR-01000111806,CCOC(=O)C1(C)C=C(Nc2ccc(C(=O)O)cc2)C(=O)N1c1ccccc1,0
SR-01000274963,O=C(Nc1ccc2c(c1)C(=O)N(CC1CCCO1)C2=O)c1ccccc1Br,0
SR-01000219052,Nc1ccc(C(=O)/C=C/c2ccccc2)cc1,0
SR-01000378965,CC(C)NC(=O)N1CCC2(CC1)OCCc1c2[nH]c2ccccc12,0
SR-01000425300,O=C1CSC(c2ccc([N+](=O)[O-])cc2)N1c1ccc(F)cc1F,0
SR-01000141472,O=C1CCSc2c1cccc2C(=O)NCCN1CCOCC1,0
SR-01000304522,C=CCNS(=O)(=O)c1ccc(NC(=O)N2CCCC2)cc1,0
SR-01000084349,CCN(CC)c1nnnc2c1sc1nc(N3CCOCC3)c3c(c12)CCCC3,0
SR-01000229442,CC(=O)c1cccc(NC(=O)CC2S/C(=N\N=C(/C)C(C)(C)C)N=C2O)c1,0
SR-01000475178,N#Cc1c(-n2ncnc2-c2ccc(Cl)cc2Cl)sc2c1CCCCC2,0
SR-01000310347,CC(OC(=O)CCCC(=O)Nc1ccc(Cl)cc1)C(=O)c1ccccc1,0
SR-01000203494,COc1ccc(C2NC(=O)c3ccccc3O2)cc1,0
SR-01000519883,COc1ccccc1C(=O)Nc1ccc2nc(SCC(=O)Nc3ccc(Br)cc3)sc2c1,0
SR-01000013302,O=C(C(Cl)Cl)N1CCN(Cc2ccccc2)CC1,0
SR-01000506025,CCOc1ccc(C2Sc3ccccc3NC3=C2C(=O)OC3)cc1,0
SR-01000449142,O=C(c1ccc([N+](=O)[O-])cc1)N1CCN(Cc2cccc(Br)c2)CC1,0
SR-01000526441,COc1nc(C)nc(NC(=O)NC(=O)c2c(Cl)nc(Cl)c([N+](=O)[O-])c2Cl)n1,0
SR-01000266076,COc1ccc(S(=O)(=O)NCCc2ccccc2)c(Cl)c1Cl,0
SR-01000587015,COc1cccc(C2CC(c3ccccc3Cl)n3ncnc3N2)c1,0
SR-01000553914,O=C1CSC(c2cccs2)N1c1ccc(Oc2ccccc2)cc1,0
SR-01000009815,CCOC(=O)/C(=C(\C)O)C1(C(C#N)C(N)=O)CCCCC1,0
SR-01000211191,CN(C)c1cc(N/N=C/C=C/c2ccccc2)nc(N(C)C)n1,0
SR-01000560809,CCOC(=O)c1sc2nc(SCc3ccc(C(C)(C)C)cc3)n(CCC3=CCCCC3)c(=O)c2c1C,0
SR-01000908986,Cc1ccc(S(=O)(=O)N2CCC(C(=O)N3CCC(C)CC3)CC2)cc1,0
SR-01000041980,CN1/C(=C\C(=O)COC(=O)c2ccc([N+](=O)[O-])o2)C(C)(C)c2ccccc21,0
SR-01000487218,N#Cc1nc(-c2ccccc2)oc1NCCN1CCCCC1,0
SR-01000445663,COC(=O)c1c(C)oc2cc(Br)c(OC/C=C/c3ccccc3)cc12,0
SR-01000460930,CCOC(=O)C1=C(C)N=c2s/c(=C\c3cc([N+](=O)[O-])ccc3N3CCOCC3)c(=O)n2C1c1ccc(N(C)C)cc1,0
SR-01000131966,COCCCNC(=O)c1ccc2c(Cl)c3c(nc2c1)CCCC3,0
SR-01000050469,Cc1nn(Cc2c(Cl)cccc2Cl)c(C)c1/C=C/C(=O)O,0
SR-01000098842,O=C(O)c1cccc(Nc2nc3ccccc3n3cnnc23)c1,0
SR-01000059895,Nc1sc2c(c1C(=O)c1cccc(F)c1)CCCC2,0
SR-01000129575,Cc1oc(-c2ccccc2Cl)nc1CS(=O)CC(=O)NCCC(C)C,0
SR-01000543982,CCOc1ccc(S(=O)(=O)NCCCOC(C)C)c2cccnc12,0
SR-01000504002,COc1ccc(-c2noc(CC3CCCCC3)n2)cc1,0
SR-01000323195,C=CCn1c(O)c(CN2CCOCC2)c(C)c(C#N)c1=O,0
SR-01000549790,CC(C)NS(=O)(=O)c1cccc2nonc12,0
SR-01000360968,CC(=O)c1cc(Cl)ccc1OC(=O)c1cccc([N+](=O)[O-])c1,0
SR-01000645424,CCOC(=O)/C(C#N)=C(\Nc1ccc(C(=O)OCC)cc1)SC,0
SR-05000022701,Cc1cc(NC(=O)c2ccc(S(=O)(=O)N(Cc3ccccc3)C(C)C)cc2)no1,0
SR-01000440658,COc1ccc(C2C(C(C)=O)=C(C)N=c3s/c(=C\c4cc(C)n(-c5ccccc5)c4C)c(=O)n32)c(OC)c1,0
SR-01000317512,CCCC(=O)NC(Oc1ccc(OC)cc1)C(Cl)(Cl)Cl,0
SR-01000485086,CC(C)OC(=O)C(C)Oc1ccc2c(=O)c(Oc3ccccc3Br)c(C(F)(F)F)oc2c1,0
SR-01000554290,COC(=O)c1ccc2nc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3)nc2c1,0
SR-01000501659,COc1cccc(NC2=C(Cl)C(=O)OC2OC(=O)c2ccco2)c1,0
SR-01000911744,COc1ccc(CCC(=O)NCCS(=O)(=O)N2CCc3ccccc3C2)cc1,0
SR-01000251769,O=C1NC(=S)NC(=O)C1c1ccccc1,0
SR-01000381327,CC(C)Cn1c(=O)[nH]c2ncc(-c3cccc(C(=O)N(C)C)c3)nc21,0
SR-01000018459,C=CCn1cnc2c(nnn2-c2ccc(OC)c(OC)c2)c1=O,0
SR-01000249607,C=CCNCCOc1ccc(Cl)cc1Br,0
